eGRID_subregion,Fuel,Pollutant,Emission_rate,Unit
AKGD,Coal,NOx,1.907,lb/MWh
AKMS,Coal,NOx,1.31,lb/MWh
AZNM,Coal,NOx,1.581,lb/MWh
CAMX,Coal,NOx,2.742,lb/MWh
ERCT,Coal,NOx,1.109,lb/MWh
FRCC,Coal,NOx,0.513,lb/MWh
HIMS,Coal,NOx,1.31,lb/MWh
HIOA,Coal,NOx,2.825,lb/MWh
MROE,Coal,NOx,0.761,lb/MWh
MROW,Coal,NOx,1.659,lb/MWh
NEWE,Coal,NOx,2.535,lb/MWh
NWPP,Coal,NOx,1.983,lb/MWh
NYCW,Coal,NOx,1.31,lb/MWh
NYLI,Coal,NOx,1.31,lb/MWh
NYUP,Coal,NOx,1.31,lb/MWh
PRMS,Coal,NOx,2.504,lb/MWh
RFCE,Coal,NOx,1.422,lb/MWh
RFCM,Coal,NOx,1.259,lb/MWh
RFCW,Coal,NOx,1.246,lb/MWh
RMPA,Coal,NOx,1.225,lb/MWh
SPNO,Coal,NOx,0.969,lb/MWh
SPSO,Coal,NOx,1.643,lb/MWh
SRMV,Coal,NOx,1.465,lb/MWh
SRMW,Coal,NOx,1.57,lb/MWh
SRSO,Coal,NOx,0.876,lb/MWh
SRTV,Coal,NOx,1.086,lb/MWh
SRVC,Coal,NOx,1.272,lb/MWh
AKGD,Coal,SO2,0.938,lb/MWh
AKMS,Coal,SO2,1.95,lb/MWh
AZNM,Coal,SO2,0.736,lb/MWh
CAMX,Coal,SO2,0.613,lb/MWh
ERCT,Coal,SO2,3.172,lb/MWh
FRCC,Coal,SO2,0.81,lb/MWh
HIMS,Coal,SO2,1.95,lb/MWh
HIOA,Coal,SO2,5.228,lb/MWh
MROE,Coal,SO2,0.506,lb/MWh
MROW,Coal,SO2,2.414,lb/MWh
NEWE,Coal,SO2,1.387,lb/MWh
NWPP,Coal,SO2,1.555,lb/MWh
NYCW,Coal,SO2,1.95,lb/MWh
NYLI,Coal,SO2,1.95,lb/MWh
NYUP,Coal,SO2,1.95,lb/MWh
PRMS,Coal,SO2,2.721,lb/MWh
RFCE,Coal,SO2,2.92,lb/MWh
RFCM,Coal,SO2,2.73,lb/MWh
RFCW,Coal,SO2,1.815,lb/MWh
RMPA,Coal,SO2,0.843,lb/MWh
SPNO,Coal,SO2,0.401,lb/MWh
SPSO,Coal,SO2,2.827,lb/MWh
SRMV,Coal,SO2,4.501,lb/MWh
SRMW,Coal,SO2,3.913,lb/MWh
SRSO,Coal,SO2,0.44,lb/MWh
SRTV,Coal,SO2,1.785,lb/MWh
SRVC,Coal,SO2,0.824,lb/MWh
AKGD,Coal,PM25,0,lb/MWh
AKMS,Coal,PM25,0,lb/MWh
AZNM,Coal,PM25,0.06441622,lb/MWh
CAMX,Coal,PM25,0,lb/MWh
ERCT,Coal,PM25,0.0994413,lb/MWh
FRCC,Coal,PM25,0.20183892,lb/MWh
HIMS,Coal,PM25,0,lb/MWh
HIOA,Coal,PM25,0,lb/MWh
MROE,Coal,PM25,0.02410681,lb/MWh
MROW,Coal,PM25,0.1130999,lb/MWh
NEWE,Coal,PM25,0.20291124,lb/MWh
NWPP,Coal,PM25,0.10414427,lb/MWh
NYCW,Coal,PM25,0,lb/MWh
NYLI,Coal,PM25,0,lb/MWh
NYUP,Coal,PM25,0,lb/MWh
PRMS,Coal,PM25,0,lb/MWh
RFCE,Coal,PM25,0.19542642,lb/MWh
RFCM,Coal,PM25,0.11261272,lb/MWh
RFCW,Coal,PM25,0.13758644,lb/MWh
RMPA,Coal,PM25,0.04981576,lb/MWh
SPNO,Coal,PM25,0.07844978,lb/MWh
SPSO,Coal,PM25,0.08736954,lb/MWh
SRMV,Coal,PM25,0.14341126,lb/MWh
SRMW,Coal,PM25,0.08630731,lb/MWh
SRSO,Coal,PM25,0.05707661,lb/MWh
SRTV,Coal,PM25,0.09056663,lb/MWh
SRVC,Coal,PM25,0.10474802,lb/MWh
AKGD,Coal,NH3,0.008103887,lb/MWh
AKMS,Coal,NH3,0.008103887,lb/MWh
AZNM,Coal,NH3,0.008103887,lb/MWh
CAMX,Coal,NH3,0.008103887,lb/MWh
ERCT,Coal,NH3,0.008103887,lb/MWh
FRCC,Coal,NH3,0.008103887,lb/MWh
HIMS,Coal,NH3,0.008103887,lb/MWh
HIOA,Coal,NH3,0.008103887,lb/MWh
MROE,Coal,NH3,0.008103887,lb/MWh
MROW,Coal,NH3,0.008103887,lb/MWh
NEWE,Coal,NH3,0.008103887,lb/MWh
NWPP,Coal,NH3,0.008103887,lb/MWh
NYCW,Coal,NH3,0.008103887,lb/MWh
NYLI,Coal,NH3,0.008103887,lb/MWh
NYUP,Coal,NH3,0.008103887,lb/MWh
PRMS,Coal,NH3,0.008103887,lb/MWh
RFCE,Coal,NH3,0.008103887,lb/MWh
RFCM,Coal,NH3,0.008103887,lb/MWh
RFCW,Coal,NH3,0.008103887,lb/MWh
RMPA,Coal,NH3,0.008103887,lb/MWh
SPNO,Coal,NH3,0.008103887,lb/MWh
SPSO,Coal,NH3,0.008103887,lb/MWh
SRMV,Coal,NH3,0.008103887,lb/MWh
SRMW,Coal,NH3,0.008103887,lb/MWh
SRSO,Coal,NH3,0.008103887,lb/MWh
SRTV,Coal,NH3,0.008103887,lb/MWh
SRVC,Coal,NH3,0.008103887,lb/MWh
AKGD,Coal,VOC,0.025374966,lb/MWh
AKMS,Coal,VOC,0.025374966,lb/MWh
AZNM,Coal,VOC,0.025374966,lb/MWh
CAMX,Coal,VOC,0.025374966,lb/MWh
ERCT,Coal,VOC,0.025374966,lb/MWh
FRCC,Coal,VOC,0.025374966,lb/MWh
HIMS,Coal,VOC,0.025374966,lb/MWh
HIOA,Coal,VOC,0.025374966,lb/MWh
MROE,Coal,VOC,0.025374966,lb/MWh
MROW,Coal,VOC,0.025374966,lb/MWh
NEWE,Coal,VOC,0.025374966,lb/MWh
NWPP,Coal,VOC,0.025374966,lb/MWh
NYCW,Coal,VOC,0.025374966,lb/MWh
NYLI,Coal,VOC,0.025374966,lb/MWh
NYUP,Coal,VOC,0.025374966,lb/MWh
PRMS,Coal,VOC,0.025374966,lb/MWh
RFCE,Coal,VOC,0.025374966,lb/MWh
RFCM,Coal,VOC,0.025374966,lb/MWh
RFCW,Coal,VOC,0.025374966,lb/MWh
RMPA,Coal,VOC,0.025374966,lb/MWh
SPNO,Coal,VOC,0.025374966,lb/MWh
SPSO,Coal,VOC,0.025374966,lb/MWh
SRMV,Coal,VOC,0.025374966,lb/MWh
SRMW,Coal,VOC,0.025374966,lb/MWh
SRSO,Coal,VOC,0.025374966,lb/MWh
SRTV,Coal,VOC,0.025374966,lb/MWh
SRVC,Coal,VOC,0.025374966,lb/MWh
AKGD,Oil,NOx,7.847,lb/MWh
AKMS,Oil,NOx,28.625,lb/MWh
AZNM,Oil,NOx,17.452,lb/MWh
CAMX,Oil,NOx,28.259,lb/MWh
ERCT,Oil,NOx,3.909,lb/MWh
FRCC,Oil,NOx,10.492,lb/MWh
HIMS,Oil,NOx,10.787,lb/MWh
HIOA,Oil,NOx,4.534,lb/MWh
MROE,Oil,NOx,1.019,lb/MWh
MROW,Oil,NOx,7.392,lb/MWh
NEWE,Oil,NOx,5.84,lb/MWh
NWPP,Oil,NOx,1.59,lb/MWh
NYCW,Oil,NOx,10.206,lb/MWh
NYLI,Oil,NOx,4.606,lb/MWh
NYUP,Oil,NOx,2.132,lb/MWh
PRMS,Oil,NOx,4.431,lb/MWh
RFCE,Oil,NOx,5.277,lb/MWh
RFCM,Oil,NOx,12.382,lb/MWh
RFCW,Oil,NOx,1.505,lb/MWh
RMPA,Oil,NOx,22.788,lb/MWh
SPNO,Oil,NOx,29.259,lb/MWh
SPSO,Oil,NOx,30.304,lb/MWh
SRMV,Oil,NOx,0.676,lb/MWh
SRMW,Oil,NOx,26.393,lb/MWh
SRSO,Oil,NOx,2.19,lb/MWh
SRTV,Oil,NOx,57.599,lb/MWh
SRVC,Oil,NOx,9.105,lb/MWh
AKGD,Oil,SO2,2.213,lb/MWh
AKMS,Oil,SO2,2.621,lb/MWh
AZNM,Oil,SO2,6.097,lb/MWh
CAMX,Oil,SO2,2.009,lb/MWh
ERCT,Oil,SO2,9.809,lb/MWh
FRCC,Oil,SO2,2.102,lb/MWh
HIMS,Oil,SO2,4.488,lb/MWh
HIOA,Oil,SO2,8.318,lb/MWh
MROE,Oil,SO2,2.31,lb/MWh
MROW,Oil,SO2,1.087,lb/MWh
NEWE,Oil,SO2,3.067,lb/MWh
NWPP,Oil,SO2,16.639,lb/MWh
NYCW,Oil,SO2,1.27,lb/MWh
NYLI,Oil,SO2,0.461,lb/MWh
NYUP,Oil,SO2,0.84,lb/MWh
PRMS,Oil,SO2,5.901,lb/MWh
RFCE,Oil,SO2,0.369,lb/MWh
RFCM,Oil,SO2,1.99,lb/MWh
RFCW,Oil,SO2,3.518,lb/MWh
RMPA,Oil,SO2,4.304,lb/MWh
SPNO,Oil,SO2,2.127,lb/MWh
SPSO,Oil,SO2,3.279,lb/MWh
SRMV,Oil,SO2,10.106,lb/MWh
SRMW,Oil,SO2,6.325,lb/MWh
SRSO,Oil,SO2,1.426,lb/MWh
SRTV,Oil,SO2,5.206,lb/MWh
SRVC,Oil,SO2,4.457,lb/MWh
AKGD,Oil,PM25,0.19995468,lb/MWh
AKMS,Oil,PM25,0.19995468,lb/MWh
AZNM,Oil,PM25,0.08754289,lb/MWh
CAMX,Oil,PM25,0.19995468,lb/MWh
ERCT,Oil,PM25,0.08649794,lb/MWh
FRCC,Oil,PM25,0.04761695,lb/MWh
HIMS,Oil,PM25,0.19995468,lb/MWh
HIOA,Oil,PM25,0.19995468,lb/MWh
MROE,Oil,PM25,0.19995468,lb/MWh
MROW,Oil,PM25,0.02216163,lb/MWh
NEWE,Oil,PM25,0.16138612,lb/MWh
NWPP,Oil,PM25,0.19995468,lb/MWh
NYCW,Oil,PM25,0.45983783,lb/MWh
NYLI,Oil,PM25,0.51370706,lb/MWh
NYUP,Oil,PM25,0.0474871,lb/MWh
PRMS,Oil,PM25,0.19995468,lb/MWh
RFCE,Oil,PM25,0.11406951,lb/MWh
RFCM,Oil,PM25,0.67917686,lb/MWh
RFCW,Oil,PM25,0.12469704,lb/MWh
RMPA,Oil,PM25,0.19995468,lb/MWh
SPNO,Oil,PM25,0.10262621,lb/MWh
SPSO,Oil,PM25,0.19995468,lb/MWh
SRMV,Oil,PM25,0.13709133,lb/MWh
SRMW,Oil,PM25,0.1913645,lb/MWh
SRSO,Oil,PM25,0.17174191,lb/MWh
SRTV,Oil,PM25,0.19995468,lb/MWh
SRVC,Oil,PM25,0.25226999,lb/MWh
AKGD,Oil,NH3,0.149398961,lb/MWh
AKMS,Oil,NH3,0.149398961,lb/MWh
AZNM,Oil,NH3,0.075535431,lb/MWh
CAMX,Oil,NH3,0.149398961,lb/MWh
ERCT,Oil,NH3,0.035826551,lb/MWh
FRCC,Oil,NH3,0.042009039,lb/MWh
HIMS,Oil,NH3,0.149398961,lb/MWh
HIOA,Oil,NH3,0.149398961,lb/MWh
MROE,Oil,NH3,0.149398961,lb/MWh
MROW,Oil,NH3,0.19862263,lb/MWh
NEWE,Oil,NH3,0.129746769,lb/MWh
NWPP,Oil,NH3,0.149398961,lb/MWh
NYCW,Oil,NH3,0.145989645,lb/MWh
NYLI,Oil,NH3,0.704325641,lb/MWh
NYUP,Oil,NH3,0.056538904,lb/MWh
PRMS,Oil,NH3,0.149398961,lb/MWh
RFCE,Oil,NH3,0.024490721,lb/MWh
RFCM,Oil,NH3,0.041074862,lb/MWh
RFCW,Oil,NH3,0.036430252,lb/MWh
RMPA,Oil,NH3,0.149398961,lb/MWh
SPNO,Oil,NH3,0.156161855,lb/MWh
SPSO,Oil,NH3,0.149398961,lb/MWh
SRMV,Oil,NH3,0.001766625,lb/MWh
SRMW,Oil,NH3,0.285711516,lb/MWh
SRSO,Oil,NH3,0.387365829,lb/MWh
SRTV,Oil,NH3,0.149398961,lb/MWh
SRVC,Oil,NH3,0.068787103,lb/MWh
AKGD,Oil,VOC,0.057559126,lb/MWh
AKMS,Oil,VOC,0.057559126,lb/MWh
AZNM,Oil,VOC,0.034439481,lb/MWh
CAMX,Oil,VOC,0.057559126,lb/MWh
ERCT,Oil,VOC,0.078394738,lb/MWh
FRCC,Oil,VOC,0.013692029,lb/MWh
HIMS,Oil,VOC,0.057559126,lb/MWh
HIOA,Oil,VOC,0.057559126,lb/MWh
MROE,Oil,VOC,0.057559126,lb/MWh
MROW,Oil,VOC,0.022643995,lb/MWh
NEWE,Oil,VOC,0.068975455,lb/MWh
NWPP,Oil,VOC,0.057559126,lb/MWh
NYCW,Oil,VOC,0.169605013,lb/MWh
NYLI,Oil,VOC,0.065402416,lb/MWh
NYUP,Oil,VOC,0.056181399,lb/MWh
PRMS,Oil,VOC,0.057559126,lb/MWh
RFCE,Oil,VOC,0.029027413,lb/MWh
RFCM,Oil,VOC,0.216390755,lb/MWh
RFCW,Oil,VOC,0.010025922,lb/MWh
RMPA,Oil,VOC,0.057559126,lb/MWh
SPNO,Oil,VOC,0.021538889,lb/MWh
SPSO,Oil,VOC,0.057559126,lb/MWh
SRMV,Oil,VOC,0.031845234,lb/MWh
SRMW,Oil,VOC,0.02161995,lb/MWh
SRSO,Oil,VOC,0.005777719,lb/MWh
SRTV,Oil,VOC,0.057559126,lb/MWh
SRVC,Oil,VOC,0.075385606,lb/MWh
AKGD,Natural Gas,NOx,7.414,lb/MWh
AKMS,Natural Gas,NOx,4.73,lb/MWh
AZNM,Natural Gas,NOx,0.418,lb/MWh
CAMX,Natural Gas,NOx,0.699,lb/MWh
ERCT,Natural Gas,NOx,0.586,lb/MWh
FRCC,Natural Gas,NOx,0.182,lb/MWh
HIMS,Natural Gas,NOx,0.414,lb/MWh
HIOA,Natural Gas,NOx,0.414,lb/MWh
MROE,Natural Gas,NOx,1.341,lb/MWh
MROW,Natural Gas,NOx,0.521,lb/MWh
NEWE,Natural Gas,NOx,0.203,lb/MWh
NWPP,Natural Gas,NOx,0.676,lb/MWh
NYCW,Natural Gas,NOx,0.216,lb/MWh
NYLI,Natural Gas,NOx,0.599,lb/MWh
NYUP,Natural Gas,NOx,0.211,lb/MWh
PRMS,Natural Gas,NOx,2.218,lb/MWh
RFCE,Natural Gas,NOx,0.173,lb/MWh
RFCM,Natural Gas,NOx,0.448,lb/MWh
RFCW,Natural Gas,NOx,0.353,lb/MWh
RMPA,Natural Gas,NOx,0.471,lb/MWh
SPNO,Natural Gas,NOx,1.332,lb/MWh
SPSO,Natural Gas,NOx,0.696,lb/MWh
SRMV,Natural Gas,NOx,0.53,lb/MWh
SRMW,Natural Gas,NOx,0.772,lb/MWh
SRSO,Natural Gas,NOx,0.251,lb/MWh
SRTV,Natural Gas,NOx,0.183,lb/MWh
SRVC,Natural Gas,NOx,0.182,lb/MWh
AKGD,Natural Gas,SO2,0.026,lb/MWh
AKMS,Natural Gas,SO2,0.046,lb/MWh
AZNM,Natural Gas,SO2,0.006,lb/MWh
CAMX,Natural Gas,SO2,0.009,lb/MWh
ERCT,Natural Gas,SO2,0.007,lb/MWh
FRCC,Natural Gas,SO2,0.043,lb/MWh
HIMS,Natural Gas,SO2,0.021,lb/MWh
HIOA,Natural Gas,SO2,0.021,lb/MWh
MROE,Natural Gas,SO2,0.071,lb/MWh
MROW,Natural Gas,SO2,0.02,lb/MWh
NEWE,Natural Gas,SO2,0.02,lb/MWh
NWPP,Natural Gas,SO2,0.009,lb/MWh
NYCW,Natural Gas,SO2,0.007,lb/MWh
NYLI,Natural Gas,SO2,0.232,lb/MWh
NYUP,Natural Gas,SO2,0.014,lb/MWh
PRMS,Natural Gas,SO2,0.355,lb/MWh
RFCE,Natural Gas,SO2,0.013,lb/MWh
RFCM,Natural Gas,SO2,0.046,lb/MWh
RFCW,Natural Gas,SO2,0.021,lb/MWh
RMPA,Natural Gas,SO2,0.018,lb/MWh
SPNO,Natural Gas,SO2,0.074,lb/MWh
SPSO,Natural Gas,SO2,0.031,lb/MWh
SRMV,Natural Gas,SO2,0.007,lb/MWh
SRMW,Natural Gas,SO2,0.009,lb/MWh
SRSO,Natural Gas,SO2,0.011,lb/MWh
SRTV,Natural Gas,SO2,0.006,lb/MWh
SRVC,Natural Gas,SO2,0.024,lb/MWh
AKGD,Natural Gas,PM25,0.05239014,lb/MWh
AKMS,Natural Gas,PM25,0.05239014,lb/MWh
AZNM,Natural Gas,PM25,0.04239054,lb/MWh
CAMX,Natural Gas,PM25,0.03454562,lb/MWh
ERCT,Natural Gas,PM25,0.0476462,lb/MWh
FRCC,Natural Gas,PM25,0.05715349,lb/MWh
HIMS,Natural Gas,PM25,0.05239014,lb/MWh
HIOA,Natural Gas,PM25,0.05239014,lb/MWh
MROE,Natural Gas,PM25,0.02232695,lb/MWh
MROW,Natural Gas,PM25,0.03104922,lb/MWh
